TBD,punctuation,TBD1,avgWordLen,numLetters,numwords,dialogue
0.0,2.0,0.0,3.5714285714285716,50.0,14.0,1.0
0.0,1.0,0.0,3.5,28.0,8.0,0.0
0.0,3.0,0.0,4.6,69.0,15.0,1.0
0.0,1.0,0.0,5.333333333333333,32.0,6.0,0.0
0.0,3.0,0.0,4.379310344827586,127.0,29.0,0.0
0.0,4.0,0.0,3.1666666666666665,38.0,12.0,1.0
0.0,1.0,0.0,4.0,12.0,3.0,0.0
0.0,1.0,0.0,3.8,38.0,10.0,0.0
0.0,1.0,0.0,6.0,12.0,2.0,0.0
0.0,1.0,0.0,3.0,39.0,13.0,0.0
0.0,1.0,0.0,3.75,15.0,4.0,0.0
0.0,1.0,0.0,6.0,30.0,5.0,1.0
0.0,1.0,0.0,3.923076923076923,51.0,13.0,0.0
0.0,3.0,0.0,3.9166666666666665,47.0,12.0,0.0
0.0,1.0,0.0,4.0588235294117645,69.0,17.0,0.0
0.0,3.0,0.0,4.0,68.0,17.0,0.0
0.0,1.0,0.0,5.5,11.0,2.0,0.0
0.0,2.0,0.0,3.3333333333333335,10.0,3.0,0.0
0.0,1.0,0.0,3.0,6.0,2.0,0.0
0.0,1.0,0.0,3.8181818181818183,42.0,11.0,1.0
0.0,2.0,0.0,3.1,31.0,10.0,0.0
0.0,2.0,0.0,3.0,21.0,7.0,0.0
0.0,1.0,0.0,3.75,30.0,8.0,0.0
0.0,1.0,0.0,3.3333333333333335,10.0,3.0,0.0
